Speler;Link;Datum;Speelronde;P_Gespeeld;P_Gewonnen;P_Gelijk;P_Verloren;P_Kaart_Geel;P_Kaart_Rood;P_Doelpunt;P_Assist;P_Tegendoelpunt;P_Eigen_Doelpunt;P_Clean_Sheet;P_Penalty_Gescoord;P_Penalty_Gemist;P_Penalty_Gestopt;P_Totaal
S. Giménez;/players/santiago-tomas-gimenez/494293/;2024-08-10;1;2.4333333333333336;0.0;0.8111111111111111;0.0;-0.0;-0.0;0.0;4.0;0.0;-0.0;0.0;0.0;-0.0;0.0;7.2444444444444445
Igor Paixão;/players/igor-guilherme-barbosa-da-paixao/593041/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
A. Hadj Moussa;/players/anis--hadj-moussa/755639/;2024-08-10;1;0.9666666666666668;0.0;0.32222222222222224;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.288888888888889
Q. Timber;/players/quinten-maduro/463017/;2024-08-10;1;0.9666666666666668;0.0;0.32222222222222224;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.288888888888889
A. Ueda;/players/ayase-ueda/551425/;2024-08-10;1;0.5666666666666667;0.0;0.18888888888888888;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.7555555555555555
M. Pedersen;/players/marcus-holmgren-pedersen/549159/;2024-08-10;1;0.36666666666666664;0.0;0.12222222222222222;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;-0.5111111111111111
T. Beelen;/players/thomas-beelen/760998/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Carranza;/players/julian-carranza/475791/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Bijlow;/players/justin-bijlow/340393/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
G. Read;/players/givairo-read/821635/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
M. van Sas;/players/mikki-van-sas/669604/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
O. Lingr;/players/ondej-lingr/377533/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
G. Smal;/players/gijs-smal/508760/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
G. Zechiël;/players/gjivai-zechiel/864326/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
T. Didillon-Hödl;/players/thomas-didillon/259971/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
M. Tirpan;/players/mickael-tirpan/202469/;2024-08-10;1;2.7;0.0;0.9;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.6
R. Behounek;/players/raffael-behounek/408747/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;6.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;9.0
T. St. Jago;/players/tommy-st-jago/477596/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
R. Sigurgeirsson;/players/runar-thor-sigurgeirsson/491746/;2024-08-10;1;2.7;0.0;0.9;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.6
A. Lachkar;/players/amine-lachkar/876151/;2024-08-10;1;3.0;0.0;1.0;0.0;-2.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;1.0
J. Bosch;/players/jesse-bosch/621347/;2024-08-10;1;2.466666666666667;0.0;0.8222222222222222;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.2888888888888888
R. Meerveld;/players/ringo-meerveld/623815/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
C. Sandra;/players/cisse-sandra/638266/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
N. Doodeman;/players/nick-doodeman/454478/;2024-08-10;1;2.7;0.0;0.9;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.6
K. Vaesen;/players/kyan-vaesen/620620/;2024-08-10;1;3.0;0.0;1.0;0.0;-2.0;-0.0;8.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;10.0
J. Bokila;/players/jeremy-bokila/49538/;2024-08-10;1;0.5333333333333333;0.0;0.17777777777777778;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.7111111111111111
R. Nizet;/players/rob-nizet/575071/;2024-08-10;1;0.30000000000000004;0.0;0.1;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.4
V. Vermeulen;/players/valentino-vermeulen/523467/;2024-08-10;1;0.30000000000000004;0.0;0.1;0.0;-2.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;-1.6
E. Kehrer;/players/emilio-kehrer/609627/;2024-08-10;1;0.30000000000000004;0.0;0.1;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.4
J. Mathijsen;/players/jens-mathijsen/982233/;2024-08-10;1;0.0;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;-2.0
