Rugnummer;Naam;Positie;Link;SW_Naam;SW_ID;Team;Naam_fix
18.0;W. Willumsson;A;/players/willum-thor-willumsson/451841/;willum-thor-willumsson;451841;Go Ahead Eagles;W. Willumsson
20.0;G. Til;M;/players/guus-til/451981/;guus-til;451981;PSV;G. Til
6.0;Deroy Duarte;M;/players/deroy-duarte/452039/;deroy-duarte;452039;Fortuna Sittard;Deroy Duarte
23.0;J. Bekkema;K;/players/jan-bekkema/452051/;jan-bekkema;452051;sc Heerenveen;J. Bekkema
3.0;K. Pierie;V;/players/kik-pierie/452053/;kik-pierie;452053;Excelsior;K. Pierie
18.0;O. Velanas;M;/players/odysseus-velanas/452059/;odysseus-velanas;452059;PEC Zwolle;O. Velanas
19.0;S. Sow;A;/players/sylla-sow/452064/;sylla-sow;452064;Go Ahead Eagles;S. Sow
6.0;B. Benamar;V;/players/benaissa-benamar/452951/;benaissa-benamar;452951;FC Volendam;B. Benamar
20.0;L. Czyborra;V;/players/lennart-czyborra/453551/;lennart-czyborra;453551;PEC Zwolle;L. Czyborra
4.0;S. Kersten;V;/players/sam-kersten/453644/;sam-kersten;453644;PEC Zwolle;S. Kersten
9.0;Pedro Marques;A;/players/pedro-david-rosendo-marques/454356/;pedro-david-rosendo-marques;454356;NEC;Pedro Marques
10.0;F. Druijf;A;/players/ferdy-druijf/454471/;ferdy-druijf;454471;PEC Zwolle;F. Druijf
1.0;J. Schendelaar;K;/players/jasper-schendelaar/454473/;jasper-schendelaar;454473;PEC Zwolle;J. Schendelaar
26.0;K. Bucker;K;/players/koen-bucker/454477/;koen-bucker;454477;stichting-heracles-almelo;K. Bucker
32.0;L. Rosier;M;/players/lorentz-rosier/456607/;lorentz-rosier;456607;Fortuna Sittard;L. Rosier
8.0;P. Vroegh;M;/players/patrick-vroegh/457667/;patrick-vroegh;457667;RKC Waalwijk;P. Vroegh
19.0;T. Buitink;A;/players/thomas-buitnik/457668/;thomas-buitnik;457668;Vitesse;T. Buitink
10.0;C. Stengs;A;/players/calvin-stengs/458659/;calvin-stengs;458659;Feyenoord;C. Stengs
23.0;J. Veerman;M;/players/joey--veerman/459312/;joey--veerman;459312;PSV;J. Veerman
5.0;G. Cox;V;/players/george--cox/459804/;george--cox;459804;FC Volendam;G. Cox
2.0;S. Voet;V;/players/siemen-voet/460046/;siemen-voet;460046;Fortuna Sittard;S. Voet
37.0;J. Šutalo;V;/players/josip-utalo/460387/;josip-utalo;460387;Ajax;J. Sutalo
7.0;V. Jensen;M;/players/victor-jensen/460509/;victor-jensen;460509;FC Utrecht;V. Jensen
85.0;Úmaro Embaló;A;/players/umaro-embalo/460644/;umaro-embalo;460644;Fortuna Sittard;Umaro Embalo
5.0;T. Lutonda;V;/players/thierry-lutonda/462568/;thierry-lutonda;462568;RKC Waalwijk;T. Lutonda
8.0;Q. Timber;M;/players/quinten-maduro/463017/;quinten-maduro;463017;Feyenoord;Q. Timber
7.0;N. Lang;A;/players/noa-lang/463018/;noa-lang;463018;PSV;N. Lang
22.0;T. Domgjoni;M;/players/toni-domgjoni/463096/;toni-domgjoni;463096;Vitesse;T. Domgjoni
16.0;F. de Keijzer;K;/players/fabian-de-keijzer/463695/;fabian-de-keijzer;463695;Heracles Almelo;F. de Keijzer
4.0;L. Geertruida;V;/players/lutsharel-geertruida/463698/;lutsharel-geertruida;463698;Feyenoord;L. Geertruida
28.0;I. Smeulers;V;/players/ian-smeulers/463699/;ian-smeulers;463699;Excelsior;I. Smeulers
29.0;B. van Hoeven;A;/players/bradly-van-hoeven/463704/;bradly-van-hoeven;463704;Almere City FC;B. van Hoeven
28.0;R. Jalving;K;/players/robin-jalving/464812/;robin-jalving;464812;Heracles Almelo;R. Jalving
6.0;M. Hoedemakers;M;/players/mees-hoedemakers/465082/;mees-hoedemakers;465082;NEC;M. Hoedemakers
19.0;N. Agrafiotis;A;/players/nikolas-agrafiotis/469771/;nikolas-agrafiotis;469771;Excelsior;N. Agrafiotis
8.0;L. Le Roux;M;/players/luke-le-roux/470980/;luke-le-roux;470980;FC Volendam;L. Le Roux
13.0;M. Spenkelink;K;/players/mark-spenkelink/471327/;mark-spenkelink;471327;RKC Waalwijk;M. Spenkelink
14.0;Rodrigo Guth;V;/players/rodrigo-guth/475116/;rodrigo-guth;475116;Fortuna Sittard;Rodrigo Guth
18.0;J. Medić;V;/players/jakov-medi/475230/;jakov-medi;475230;Ajax;J. Medic
8.0;A. Timossi Andersson;A;/players/alex-timossi-andersson/475253/;alex-timossi-andersson;475253;sc Heerenveen;A. Timossi Andersson
11.0;D. van den Berg;M;/players/dave-van-den-berg-/475335/;dave-van-den-berg-;475335;PEC Zwolle;D. van den Berg
5.0;L. Mbe Soh;V;/players/loic-mbe-soh/475342/;loic-mbe-soh;475342;Almere City FC;L. Mbe Soh
14.0;D. Mihailović;M;/players/djordje-mihailovic/476447/;djordje-mihailovic;476447;AZ;D. Mihailovic
6.0;D. Oroz;V;/players/alois-oroz/477426/;alois-oroz;477426;Vitesse;D. Oroz
33.0;T. St. Jago;V;/players/tommy-st-jago/477596/;tommy-st-jago;477596;FC Utrecht;T. St. Jago
26.0;O. Boussaid;M;/players/othman-boussaid/477598/;othman-boussaid;477598;FC Utrecht;O. Boussaid
12.0;J. Gorter;K;/players/jay-gorter/477600/;jay-gorter;477600;Ajax;J. Gorter
14.0;Pascu;M;/players/jose-pascual-alba-seva/478563/;jose-pascual-alba-seva;478563;Almere City FC;Pascu
27.0;M. Sagnan;V;/players/modibo-sagnan/478644/;modibo-sagnan;478644;FC Utrecht;M. Sagnan
2.0;Y. Sugawara;V;/players/yukinari-sugawara/479395/;yukinari-sugawara;479395;AZ;Y. Sugawara
8.0;S. Dest;V;/players/sergino-dest/479402/;sergino-dest;479402;PSV;S. Dest
